,wind_code,delist_date
0,301206.SZ,1899-12-30
1,301106.SZ,1899-12-30
2,301235.SZ,1899-12-30
3,688261.SH,1899-12-30
4,301228.SZ,1899-12-30
5,301217.SZ,1899-12-30
6,688225.SH,1899-12-30
7,603322.SH,1899-12-30
8,603322.SH,1899-12-30
9,000593.SZ,1899-12-30
10,301122.SZ,1899-12-30
11,301123.SZ,1899-12-30
12,301228.SZ,1899-12-30
13,301106.SZ,1899-12-30
14,301235.SZ,1899-12-30
15,688270.SH,1899-12-30
16,301217.SZ,1899-12-30
17,688171.SH,1899-12-30
18,002646.SZ,1899-12-30
19,301201.SZ,1899-12-30
20,301122.SZ,1899-12-30
21,688223.SH,1899-12-30
22,603102.SH,1899-12-30
23,301123.SZ,1899-12-30
24,301116.SZ,1899-12-30
25,603150.SH,1899-12-30
26,000780.SZ,2022-01-24
27,001289.SZ,1899-12-30
28,688173.SH,1899-12-30
29,002641.SZ,1899-12-30
30,301158.SZ,1899-12-30
31,301117.SZ,1899-12-30
32,301201.SZ,1899-12-30
33,600052.SH,1899-12-30
34,300834.SZ,1899-12-30
35,870204.BJ,1899-12-30
36,603279.SH,1899-12-30
37,688062.SH,1899-12-30
38,002683.SZ,1899-12-30
39,301116.SZ,1899-12-30
40,301196.SZ,1899-12-30
41,000859.SZ,1899-12-30
42,301158.SZ,1899-12-30
43,000516.SZ,1899-12-30
44,301136.SZ,1899-12-30
45,001227.SZ,1899-12-30
46,301117.SZ,1899-12-30
47,000516.SZ,1899-12-30
48,600052.SH,1899-12-30
49,688220.SH,1899-12-30
50,600595.SH,1899-12-30
51,300834.SZ,1899-12-30
52,301159.SZ,1899-12-30
53,688234.SH,1899-12-30
54,688259.SH,1899-12-30
55,603279.SH,1899-12-30
56,001234.SZ,1899-12-30
57,301196.SZ,1899-12-30
58,301136.SZ,1899-12-30
59,301159.SZ,1899-12-30
60,688176.SH,1899-12-30
61,688262.SH,1899-12-30
62,871245.BJ,1899-12-30
63,301127.SZ,1899-12-30
64,600941.SH,1899-12-30
65,301189.SZ,1899-12-30
66,301166.SZ,1899-12-30
67,603686.SH,1899-12-30
68,603176.SH,1899-12-30
69,002976.SZ,1899-12-30
70,688227.SH,1899-12-30
71,301127.SZ,1899-12-30
72,688236.SH,1899-12-30
73,301190.SZ,1899-12-30
74,301182.SZ,1899-12-30
75,301186.SZ,1899-12-30
76,002470.SZ,1899-12-30
77,688206.SH,1899-12-30
78,301113.SZ,1899-12-30
79,301166.SZ,1899-12-30
80,688265.SH,1899-12-30
81,301211.SZ,1899-12-30
82,301189.SZ,1899-12-30
83,301221.SZ,1899-12-30
84,688210.SH,1899-12-30
85,603686.SH,1899-12-30
86,002086.SZ,1899-12-30
87,688167.SH,1899-12-30
88,603230.SH,1899-12-30
89,001296.SZ,1899-12-30
90,002086.SZ,1899-12-30
91,301190.SZ,1899-12-30
92,301096.SZ,1899-12-30
93,002726.SZ,1899-12-30
94,600927.SH,1899-12-30
95,301186.SZ,1899-12-30
96,301182.SZ,1899-12-30
97,301100.SZ,1899-12-30
98,301221.SZ,1899-12-30
99,301211.SZ,1899-12-30
100,301113.SZ,1899-12-30
101,688248.SH,1899-12-30
102,301101.SZ,1899-12-30
103,301138.SZ,1899-12-30
104,301177.SZ,1899-12-30
105,688032.SH,1899-12-30
106,301096.SZ,1899-12-30
107,002719.SZ,1899-12-30
108,301100.SZ,1899-12-30
109,600810.SH,1899-12-30
110,000537.SZ,1899-12-30
111,002629.SZ,1899-12-30
112,603071.SH,1899-12-30
113,301101.SZ,1899-12-30
114,301168.SZ,1899-12-30
115,301177.SZ,1899-12-30
116,603216.SH,1899-12-30
117,688235.SH,1899-12-30
118,301138.SZ,1899-12-30
119,301193.SZ,1899-12-30
120,688246.SH,1899-12-30
121,301179.SZ,1899-12-30
122,301126.SZ,1899-12-30
123,301199.SZ,1899-12-30
124,301111.SZ,1899-12-30
125,688192.SH,1899-12-30
126,688110.SH,1899-12-30
127,301213.SZ,1899-12-30
128,301168.SZ,1899-12-30
129,301167.SZ,1899-12-30
130,301193.SZ,1899-12-30
131,600188.SH,1899-12-30
132,301108.SZ,1899-12-30
133,000408.SZ,1899-12-30
134,301179.SZ,1899-12-30
135,301198.SZ,1899-12-30
136,600877.SH,1899-12-30
137,301199.SZ,1899-12-30
138,301126.SZ,1899-12-30
139,301111.SZ,1899-12-30
140,600188.SH,1899-12-30
141,600215.SH,1899-12-30
142,688151.SH,1899-12-30
143,301167.SZ,1899-12-30
144,301213.SZ,1899-12-30
145,301108.SZ,1899-12-30
146,600877.SH,1899-12-30
147,301133.SZ,1899-12-30
148,600215.SH,1899-12-30
149,002210.SZ,1899-12-30
150,301198.SZ,1899-12-30
151,688230.SH,1899-12-30
152,688112.SH,1899-12-30
153,001317.SZ,1899-12-30
154,301155.SZ,1899-12-30
155,688049.SH,1899-12-30
156,301099.SZ,1899-12-30
157,301133.SZ,1899-12-30
158,301119.SZ,1899-12-30
159,600935.SH,1899-12-30
160,688190.SH,1899-12-30
161,301185.SZ,1899-12-30
162,301155.SZ,1899-12-30
163,300489.SZ,1899-12-30
164,301118.SZ,1899-12-30
165,836720.BJ,1899-12-30
166,603398.SH,1899-12-30
167,301119.SZ,1899-12-30
168,301180.SZ,1899-12-30
169,603219.SH,1899-12-30
170,301099.SZ,1899-12-30
171,301185.SZ,1899-12-30
172,832171.BJ,1899-12-30
173,836077.BJ,1899-12-30
174,832278.BJ,1899-12-30
175,834021.BJ,1899-12-30
176,430047.BJ,1899-12-30
177,832735.BJ,1899-12-30
178,837212.BJ,1899-12-30
179,833266.BJ,1899-12-30
180,835368.BJ,1899-12-30
181,832145.BJ,1899-12-30
182,832317.BJ,1899-12-30
183,837092.BJ,1899-12-30
184,830799.BJ,1899-12-30
185,835174.BJ,1899-12-30
186,688082.SH,1899-12-30
187,836260.BJ,1899-12-30
188,839729.BJ,1899-12-30
189,301178.SZ,1899-12-30
190,870436.BJ,1899-12-30
191,834765.BJ,1899-12-30
192,836239.BJ,1899-12-30
193,838275.BJ,1899-12-30
194,430198.BJ,1899-12-30
195,430418.BJ,1899-12-30
196,838163.BJ,1899-12-30
197,688075.SH,1899-12-30
198,871553.BJ,1899-12-30
199,836263.BJ,1899-12-30
200,839946.BJ,1899-12-30
201,830832.BJ,1899-12-30
202,839680.BJ,1899-12-30
203,871642.BJ,1899-12-30
204,830964.BJ,1899-12-30
205,832225.BJ,1899-12-30
206,831010.BJ,1899-12-30
207,831768.BJ,1899-12-30
208,833509.BJ,1899-12-30
209,430090.BJ,1899-12-30
210,831305.BJ,1899-12-30
211,832885.BJ,1899-12-30
212,835305.BJ,1899-12-30
213,837242.BJ,1899-12-30
214,830946.BJ,1899-12-30
215,831856.BJ,1899-12-30
216,301098.SZ,1899-12-30
217,430510.BJ,1899-12-30
218,832566.BJ,1899-12-30
219,830839.BJ,1899-12-30
220,839167.BJ,1899-12-30
221,301118.SZ,1899-12-30
222,838924.BJ,1899-12-30
223,871396.BJ,1899-12-30
224,833427.BJ,1899-12-30
225,834682.BJ,1899-12-30
226,831726.BJ,1899-12-30
227,834599.BJ,1899-12-30
228,838030.BJ,1899-12-30
229,835508.BJ,1899-12-30
230,872925.BJ,1899-12-30
231,834475.BJ,1899-12-30
232,835640.BJ,1899-12-30
233,836149.BJ,1899-12-30
234,600856.SH,1899-12-30
235,833523.BJ,1899-12-30
236,836826.BJ,1899-12-30
237,836892.BJ,1899-12-30
238,430489.BJ,1899-12-30
239,834415.BJ,1899-12-30
240,835670.BJ,1899-12-30
241,833819.BJ,1899-12-30
242,835185.BJ,1899-12-30
243,831961.BJ,1899-12-30
244,833873.BJ,1899-12-30
245,833874.BJ,1899-12-30
246,831370.BJ,1899-12-30
247,831832.BJ,1899-12-30
248,833994.BJ,1899-12-30
249,836675.BJ,1899-12-30
250,837344.BJ,1899-12-30
251,603398.SH,1899-12-30
252,832089.BJ,1899-12-30
253,831039.BJ,1899-12-30
254,831445.BJ,1899-12-30
255,832000.BJ,1899-12-30
256,836433.BJ,1899-12-30
257,002128.SZ,1899-12-30
258,835184.BJ,1899-12-30
259,871981.BJ,1899-12-30
260,833454.BJ,1899-12-30
261,688232.SH,1899-12-30
262,001267.SZ,1899-12-30
263,600279.SH,1899-12-30
264,301188.SZ,1899-12-30
265,603048.SH,1899-12-30
266,688182.SH,1899-12-30
267,301128.SZ,1899-12-30
268,301149.SZ,1899-12-30
269,301180.SZ,1899-12-30
270,688212.SH,1899-12-30
271,688105.SH,1899-12-30
272,688107.SH,1899-12-30
273,301178.SZ,1899-12-30
274,301098.SZ,1899-12-30
275,688107.SH,1899-12-30
276,600279.SH,1899-12-30
277,301188.SZ,1899-12-30
278,603213.SH,1899-12-30
279,002420.SZ,1899-12-30
280,002201.SZ,1899-12-30
281,301128.SZ,1899-12-30
282,301149.SZ,1899-12-30
283,688162.SH,1899-12-30
284,301169.SZ,1899-12-30
285,301092.SZ,1899-12-30
286,301129.SZ,1899-12-30
287,301093.SZ,1899-12-30
288,300475.SZ,1899-12-30
289,301091.SZ,1899-12-30
290,301169.SZ,1899-12-30
291,301088.SZ,1899-12-30
292,301129.SZ,1899-12-30
293,301092.SZ,1899-12-30
294,301082.SZ,1899-12-30
295,301089.SZ,1899-12-30
296,301093.SZ,1899-12-30
297,001288.SZ,1899-12-30
298,301090.SZ,1899-12-30
299,301091.SZ,1899-12-30
300,301087.SZ,1899-12-30
301,600662.SH,1899-12-30
302,301088.SZ,1899-12-30
303,688739.SH,1899-12-30
304,688280.SH,1899-12-30
305,605138.SH,1899-12-30
306,301089.SZ,1899-12-30
307,688257.SH,1899-12-30
308,301082.SZ,1899-12-30
309,688280.SH,1899-12-30
310,301083.SZ,1899-12-30
311,688553.SH,1899-12-30
312,002648.SZ,1899-12-30
313,301090.SZ,1899-12-30
314,688211.SH,1899-12-30
315,688553.SH,1899-12-30
316,301081.SZ,1899-12-30
317,301086.SZ,1899-12-30
318,301079.SZ,1899-12-30
319,605566.SH,1899-12-30
320,301087.SZ,1899-12-30
321,688255.SH,1899-12-30
322,600662.SH,1899-12-30
323,688737.SH,1899-12-30
324,600723.SH,2021-10-22
325,301080.SZ,1899-12-30
326,301085.SZ,1899-12-30
327,001219.SZ,1899-12-30
328,301083.SZ,1899-12-30
329,605555.SH,1899-12-30
330,688285.SH,1899-12-30
331,301086.SZ,1899-12-30
332,301081.SZ,1899-12-30
333,301078.SZ,1899-12-30
334,001216.SZ,1899-12-30
335,688722.SH,1899-12-30
336,301079.SZ,1899-12-30
337,300671.SZ,1899-12-30
338,688272.SH,1899-12-30
339,301080.SZ,1899-12-30
340,301085.SZ,1899-12-30
341,002761.SZ,1899-12-30
342,001218.SZ,1899-12-30
343,300650.SZ,1899-12-30
344,688772.SH,1899-12-30
345,600234.SH,1899-12-30
346,301076.SZ,1899-12-30
347,301078.SZ,1899-12-30
348,301073.SZ,1899-12-30
349,301077.SZ,1899-12-30
350,605567.SH,1899-12-30
351,600234.SH,1899-12-30
352,301072.SZ,1899-12-30
353,301075.SZ,1899-12-30
354,300020.SZ,1899-12-30
355,300089.SZ,1899-12-30
356,301076.SZ,1899-12-30
357,603859.SH,1899-12-30
358,301068.SZ,1899-12-30
359,300089.SZ,1899-12-30
360,301069.SZ,1899-12-30
361,301077.SZ,1899-12-30
362,301071.SZ,1899-12-30
363,301073.SZ,1899-12-30
364,301063.SZ,1899-12-30
365,301072.SZ,1899-12-30
366,301075.SZ,1899-12-30
367,301070.SZ,1899-12-30
368,001217.SZ,1899-12-30
